DISTRITO,TARIFA,CARTERA,consumo_promedio,consumo_std,importe_promedio,importe_std,consumo_minimo,consumo_maximo,total_registros
INDEPENDENCIA,MT2,M,883.4826649999999,314.8660305615528,1749.7849999999999,1004.4452804120817,487.3912,1460.2916,20
INDEPENDENCIA,MT2,MAYOR,553.0,0.0,1125.8,0.0,553.0,553.0,1
INDEPENDENCIA,MT3,M,9316.337571629778,16081.258875536258,5677.225754527164,9515.1754996285,44.9673,83364.2242,497
INDEPENDENCIA,MT3,MAYOR,9508.75,18116.502409841407,5909.1950000000015,11035.054307999577,619.0,73523.0,20
INDEPENDENCIA,MT4,M,3939.4605461832043,3947.98689326418,2687.6333969465645,2506.631593138486,48.0254,19259.7902,524
INDEPENDENCIA,MT4,MAYOR,3970.190476190476,4346.957425821509,2735.7714285714283,2652.4849102573344,85.0,16310.0,21
JANGAS,BT4,M,144.885,115.05148172608826,268.80999999999995,180.8395418450756,12.9,386.7,20
JANGAS,BT4,MAYOR,108.0,0.0,99.1,0.0,108.0,108.0,1
JANGAS,BT5B,C,52.352180955826306,107.33433742872712,49.16667470557496,102.13717832207024,0.1,4905.0,24879
JANGAS,BT5B,COMÚN,67.60076775431862,101.40128735046953,68.9681381957774,102.54443737579983,1.0,1153.0,521
JANGAS,BT6,C,300.0,0.0,106.87666666666662,3.433876198573041,300.0,300.0,30
JANGAS,BT6,COMÚN,300.0,0.0,110.6,0.0,300.0,300.0,1
JANGAS,MT3,M,3329.828676881721,2164.491466339161,2427.4129032258065,1562.8763361170872,116.645,7673.97,186
JANGAS,MT3,MAYOR,2867.5714285714284,2179.008096752806,2179.785714285714,1586.4033003711797,335.0,5932.0,7
JANGAS,MT4,M,1563.815894262295,1139.5637437320695,1180.8991803278693,797.9967229469262,258.3,3883.93,122
JANGAS,MT4,MAYOR,1575.25,1215.4265026456076,1268.6000000000001,900.0192368314506,620.0,3215.0,4
JEQUETEPEQUE,BT2,M,169.10599999999997,63.62815925882711,697.625,29.323071121558883,132.42,263.972,4
JEQUETEPEQUE,BT2,MAYOR,34.0,0.0,236.0,0.0,34.0,34.0,1
JEQUETEPEQUE,BT5B,C,87.03127552745912,279.1549807877426,84.99371471682413,258.71019927627486,0.1,9783.0,38439
JEQUETEPEQUE,BT5B,COMÚN,81.14345287739783,274.206908165891,85.3502085070892,269.59914167740834,1.0,6724.0,1199
JEQUETEPEQUE,BT5D,C,2969.0,0.0,1715.5,0.0,2969.0,2969.0,1
JEQUETEPEQUE,BT6,C,2000.0,0.0,682.1616666666666,22.69214074106779,2000.0,2000.0,60
JEQUETEPEQUE,BT6,COMÚN,2000.0,0.0,709.4,0.14142135623734164,2000.0,2000.0,2
JEQUETEPEQUE,MT2,M,4533.928766883115,5552.838863639481,3370.7850649350653,3547.381402454684,88.6909,28142.4537,154
JEQUETEPEQUE,MT2,MAYOR,2298.5,1678.3458225288375,1925.7166666666665,930.0615881040711,706.0,4469.0,6
JEQUETEPEQUE,MT3,M,57607.14929032259,22088.228161697007,34928.15806451612,13236.213885266288,3910.4688,130688.1238,31
JEQUETEPEQUE,MT3,MAYOR,95079.0,47879.61436770351,54827.85,28299.89830732612,61223.0,128935.0,2
JESUS,BT5B,C,34.96703158737248,89.22142725171771,33.67002457002363,86.09626509247188,0.1,4456.0,107448
JESUS,BT5B,COMÚN,32.9798279442302,70.4912702221853,33.98576090180956,73.78819724306058,1.0,1552.0,3371
JESUS,BT6,C,3575.0,0.0,1214.9566666666665,36.776498148844375,3575.0,3575.0,30
JESUS,BT6,COMÚN,3575.0,0.0,1256.2,0.0,3575.0,3575.0,1
JESUS,MT3,M,4764.71144587378,6129.655379249998,3093.9050970873805,3885.9626441683345,265.0,45365.4092,412
JESUS,MT3,MAYOR,3544.733333333333,3518.9618287757758,2907.3999999999996,3147.6239873457384,200.0,10413.0,15
JESUS,MT4,M,800.5665407407408,165.0891476215741,892.5370370370371,132.1620018361735,526.5102,1150.8616,27
JESUS,MT4,MAYOR,659.0,0.0,1016.8,0.0,659.0,659.0,1
JIRCAN,BT5B,C,27.54900386100386,83.2322186600692,24.547799227799253,79.4095404037795,0.64,2953.0,7770
JORGE CHAVEZ,BT5B,C,23.141955731747604,27.782135793953117,22.106739345887004,25.30530577767112,0.1,439.0,3027
JORGE CHAVEZ,BT5B,COMÚN,21.27777777777778,22.892203028576294,21.82962962962963,20.700193051875345,1.0,123.0,108
JOSE CRESPO Y CASTILLO,BT5B,C,197.47286821705427,453.26834073343383,188.7527131782946,431.9661964272927,1.0,1602.0,129
JOSE GALVEZ,BT5B,C,32.170259542612705,87.1215564781179,30.440872820006934,83.1351876299368,0.1,7530.0,24312
JOSE GALVEZ,BT5B,COMÚN,33.01159793814433,98.19559740225247,33.42835051546387,98.58787373112419,1.0,2540.0,776
JOSE MANUEL QUIROZ,BT5B,C,17.57948023822415,30.872088950490095,18.839938639234713,29.290261660396418,1.0,376.0,11082
JOSE MANUEL QUIROZ,BT5B,COMÚN,17.975871313672922,28.649756648641993,19.456568364611265,27.69362123322674,1.0,276.0,373
JOSE MANUEL QUIROZ,MT3,M,2753.6708018518516,529.5920215646072,1593.6777777777781,268.19212113050224,1843.77,3637.3559,54
JOSE MANUEL QUIROZ,MT3,MAYOR,2135.0,96.16652224137046,1229.2,178.61517292772183,2067.0,2203.0,2
JOSE SABOGAL,BT5B,C,39.18294148842142,108.6443528652222,39.41321371751816,108.10325898859645,1.0,2748.1,11314
JOSE SABOGAL,BT5B,COMÚN,41.808510638297875,115.63845050000693,42.12021276595744,117.3213090776264,1.0,1468.0,376
JOSE SABOGAL,MT2,M,1201.549090909091,349.04323679035934,1097.1909090909091,197.27196686070454,885.6,2195.04,11
JOSE SABOGAL,MT3,M,1660.9006864864862,426.6727328129639,1556.954054054054,158.2074931407672,731.5516,2481.115,37
JOSÃ© LEONARDO ORTÃ­Z,BT5B,C,23.984615384615385,26.992291429138824,22.79174825174824,24.05207123498591,1.0,259.0,715
JOSÉ LEONARDO ORTÍZ,BT5B,C,759.0,0.0,744.7,0.0,759.0,759.0,1
JULCAN,BT4,M,70.40689655172415,33.89475234388359,172.52413793103452,46.983717963722086,8.9,129.2,29
JULCAN,BT4,MAYOR,134.0,0.0,199.7,0.0,134.0,134.0,1
JULCAN,BT5B,C,50.30209801890889,189.45253056719804,48.58960344769976,182.726217520759,0.1,3662.0,29933
JULCAN,BT5B,COMÚN,46.09017223910841,171.85143524513285,47.76605876393111,174.81995279574264,1.0,3032.0,987
JULCAN,BT5D,C,824.7432950191571,356.0567467778475,279.61226053639837,117.95906918481191,222.0,2145.0,261
JULCAN,BT5D,COMÚN,785.6666666666666,326.4038909081814,316.21111111111117,126.70948508738843,353.0,1242.0,9
JULCAN,BT6,C,1080.0,0.0,366.85517241379307,11.740606768418756,1080.0,1080.0,29
JULCAN,BT6,COMÚN,1080.0,0.0,380.3,0.0,1080.0,1080.0,1
JULCAN,MT2,M,2427.037241379311,685.2302730847729,1931.6413793103447,630.0049526547058,1647.978,5060.58,29
JULCAN,MT2,MAYOR,1900.0,0.0,1471.6,0.0,1900.0,1900.0,1
